cc;rating;age;value;wage
ARE;77;26;10500000;39000
OMN;72;36;425000;12000
CPV;72;27;4426579;11526
ISR;72;28;3398077;15231
TGO;71;28;3770833;16000
PRT;71;26;5079439;14355
BRA;71;28;4564881;17671
EGY;71;26;6658750;26150
FJI;71;30;2300000;4000
MOZ;71;26;2850000;11000
NCL;71;30;1800000;9000
DZA;71;27;4670917;18083
PER;71;26;3167500;9167
UKR;70;25;4092329;5986
URY;70;27;4909932;17356
BLR;70;29;2443750;8000
GNQ;70;25;2790000;17200
KWT;70;31;1200000;13000
LBY;70;25;2400000;4750
TCD;70;23;3400000;12000
MAR;70;26;3948353;14847
SRB;70;26;4172680;13408
ZWE;70;27;2780769;6846
ESP;70;25;4394421;16337
HRV;70;25;5223849;21683
CZE;70;27;2865859;8030
GAB;69;26;6628333;26933
SVN;69;26;4916500;12240
PRY;69;25;3511308;11908
RUS;69;24;3707536;3797
ROU;69;26;2852927;10756
HND;69;27;2527188;7500
GRC;69;25;3094950;7960
ECU;69;25;2757258;15419
ARM;69;27;3717500;22000
MLI;69;25;2688372;10674
CIV;69;25;3497018;13023
CRI;69;26;2910667;13567
BEL;69;24;4717239;18544
IRN;69;25;2627941;11294
SEN;69;25;3545077;14362
ARG;69;26;3083112;11525
BFA;69;25;2887500;12063
SYR;69;26;2983889;13333
MNE;68;25;3405870;13087
HUN;68;24;3277500;11455
SVK;68;26;3826111;11000
GEO;68;24;2268462;4192
TUN;68;26;2073125;9219
ITA;68;26;3059077;13531
GIN;68;25;3423065;12226
LBR;68;25;1200000;3000
MUS;68;26;875000;4000
CMR;68;24;2696023;11216
FRA;68;25;3694484;14104
MKD;68;25;2964664;11286
PAN;68;26;1163333;3067
NLD;68;24;2875288;10055
AGO;68;26;2018333;7667
COM;68;27;1391667;4500
ERI;68;27;1237500;6000
UZB;68;30;3100000;9000
VEN;67;24;2534322;7017
BEN;67;26;1646333;8667
GMB;67;23;2031333;8133
NGA;67;23;2534463;9860
GHA;67;24;2551447;9614
ZAF;67;27;1469273;3182
GUM;67;30;550000;3000
IRQ;67;25;1732857;5857
SUR;67;25;868750;3000
MDG;67;28;1014167;7750
JAM;67;28;1901406;8188
BMU;67;28;1087500;16500
ISL;66;25;2026842;10079
DEU;66;24;2534653;9660
TUR;66;25;1882393;10442
ALB;66;24;1959872;7256
CUB;66;24;1487500;3250
LBN;66;29;500000;2000
NAM;66;25;783333;3333
NIC;66;29;500000;1000
PSE;66;31;575000;2000
SLV;66;26;795000;2600
BGR;66;27;1864583;2667
COL;66;25;1793317;5437
PRK;66;29;950000;4250
CHE;65;25;2119545;10155
DOM;65;23;3348571;21857
MEX;65;24;1687877;8844
KEN;65;25;2261000;11200
SLE;65;25;1092500;4000
ZMB;65;22;1129444;3444
USA;65;25;1183697;4258
EST;65;27;825000;4083
CHL;65;25;1351198;5209
PHL;65;24;1725000;14500
AUT;65;25;1617618;7703
KAZ;65;26;587500;2000
MSR;65;26;587500;3000
LIE;65;25;1078333;5000
MRT;65;23;600000;2000
FIN;64;25;1499231;5369
KOR;64;26;874159;3075
BOL;64;25;1495000;4167
CYP;64;24;1238125;5250
ETH;64;32;250000;1000
COG;64;24;978400;4440
LUX;64;23;853750;4000
DNK;64;24;1792000;6928
GTM;64;27;415000;1333
GBR;64;24;1483335;9849
SWE;64;25;1144810;4104
LTU;64;25;875625;2875
HTI;63;24;928500;3900
BRB;63;28;401667;3667
POL;63;25;1350850;5170
LVA;63;29;445833;2667
NOR;63;24;1010397;3347
AZE;63;26;519000;2200
GRD;63;25;425000;3000
JOR;63;23;425000;1000
NZL;63;24;1239412;5765
PRI;63;34;110000;2000
QAT;63;24;425000;1000
RWA;63;21;475000;2000
CAN;63;24;1004407;4136
SDN;63;26;456667;5333
JPN;63;26;836674;3463
AUS;63;24;743269;3380
FRO;63;24;526667;2667
UGA;63;24;553333;2000
THA;62;25;490000;2400
BDI;62;23;1268333;10667
NER;62;25;578333;3667
AND;62;28;290000;1000
GUY;62;27;276667;1667
IRL;61;25;707539;5322
AFG;61;23;342500;1250
MLT;61;25;300000;2000
SAU;61;25;418765;5137
HKG;61;28;145000;1500
CHN;60;26;362432;3156
BLZ;60;25;250000;1000
BWA;56;20;160000;1000
IDN;56;17;180000;1000
